movie_id,total_comments,title,taiwan_release_date,taiwan_date,taiwan_year,Holiday,Hours,Minutes,TotalMinutes,expected_rating,num_exp_votes,actual_rating,num_actual_votes,boxoffice_taiwan(10thousand),china_release_date,china_date,china_year,boxoffice_china(100million),type_action,type_adventure,type_animation,type_comedy,type_crime,type_drama,type_fantasy,type_horror,type_other,type_romance,type_sci-fi,type_thriller,boxoffice_china(100million)_red,taiwan_day_Friday,taiwan_day_Thursday,taiwan_day_Tuesday,taiwan_day_Wednesday,taiwan_month_April,taiwan_month_August,taiwan_month_December,taiwan_month_February,taiwan_month_January,taiwan_month_July,taiwan_month_June,taiwan_month_March,taiwan_month_May,taiwan_month_November,taiwan_month_October,taiwan_month_September,china_day_Friday,china_day_Monday,china_day_Saturday,china_day_Sunday,china_day_Thursday,china_day_Tuesday,china_day_Wednesday,china_month_April,china_month_August,china_month_December,china_month_February,china_month_January,china_month_July,china_month_June,china_month_March,china_month_May,china_month_November,china_month_October,china_month_September
3796,531,The Amazing Spider-Man,41089,29,2012,0,2,16,136,82,2302,4.5,2760,10800,41148,27,2012,3.16,1,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3957,623,Battleship,41010,11,2012,0,2,11,131,98,1997,4.5,3061,9900,41017,18,2012,3.1,1,0,0,0,0,1,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
4034,1050,The Avengers,41024,25,2012,0,2,22,142,99,6506,4.8,7353,23700,41034,5,2012,5.68,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4105,259,Total Recall,41124,3,2012,0,1,58,118,97,828,4.4,1268,4400,41202,20,2012,1.16,1,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4116,259,Men in Black 3 3D,41052,23,2012,0,1,46,106,99,1740,4.6,1652,9500,41054,25,2012,5.03,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4120,893,The Dark Knight Rises,41109,19,2012,0,2,45,165,99,2909,4.8,5166,16700,41148,27,2012,3.39,1,0,0,0,1,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4125,27,The Lorax,40998,30,2012,0,1,26,86,97,301,4.2,222,792,41117,27,2012,0.14,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4150,271,THE HOBBIT: AN UNEXPECTED JOURNEY,41257,14,2012,0,2,49,169,97,1508,4.6,1328,5300,41327,22,2013,3.12,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4164,774,Resident Evil：Retribution,41164,12,2012,0,1,33,93,99,5721,3.8,2495,7000,41350,17,2013,1.08,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4170,367,SKYFALL,41215,2,2012,0,2,23,143,97,1082,4.2,1545,9100,41295,21,2013,3.76,1,0,0,0,1,1,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4180,413,G.I. Joe 2: Retaliation,41360,27,2013,0,1,50,110,99,2223,3.8,1504,8000,41379,15,2013,3.34,1,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4190,625,The Hunger Games,40991,23,2012,0,2,23,143,99,2173,4.3,3615,7200,41074,14,2012,1.75,1,1,0,0,0,1,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4195,161,The Bourne Legacy,41130,9,2012,0,2,15,135,98,819,4.2,845,3800,41207,25,2012,2.13,1,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4198,63,Mirror Mirror,41003,4,2012,0,1,46,106,96,466,3.9,385,1500,41061,1,2012,0.44,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4213,534,PROMETHEUS,41066,6,2012,0,2,4,124,97,819,3.9,1798,5000,41154,2,2012,2.23,1,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4214,83,Ice Age 4 :Continental Drift,41103,13,2012,0,1,33,93,98,994,4.5,525,3900,41117,27,2012,4.47,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4223,134,Despicable Me 2,41458,3,2013,0,1,38,98,97,1572,4.6,1160,6900,41649,10,2014,3.21,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4230,57,Hotel Transylvania,41313,8,2013,0,1,32,92,97,697,4.5,498,1900,41579,1,2013,0.73,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4240,18,The Cold Light of Day,41061,1,2012,0,1,33,93,95,132,3.3,98,306,41194,12,2012,0.08,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4241,38,Lockout,41047,18,2012,0,1,35,95,95,151,4.1,275,701,41128,7,2012,0.35,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
4243,229,The Expendables 2,41138,17,2012,0,1,43,103,98,1126,4.5,1126,3600,41156,4,2012,3.32,1,1,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
4282,630,SILENT CODE,41138,17,2012,0,1,46,106,93,2951,4.5,2744,2200,41347,14,2013,0.03,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4317,208,THE GREAT GATSBY,41411,17,2013,0,2,22,142,97,773,4.6,1171,3800,41516,30,2013,0.82,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4324,63,Django Unchained,41332,27,2013,0,2,46,166,93,258,4.4,332,762,41406,12,2013,0.16,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4334,367,Les Misérables,41313,8,2013,0,2,38,158,98,3294,4.7,2765,7400,41333,28,2013,0.62,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4354,355,Touch of the Light,41173,21,2012,0,1,50,110,96,408,4.8,2188,2500,41433,8,2013,0.08,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4359,31,Epic,41425,31,2013,0,1,42,102,95,225,4.3,128,489,41607,29,2013,0.49,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
